content,sentiment
"Con Santiago Taboada junto a miles de vecinas y vecinos que quieren que siga el cambio en Álvaro Obregón y la #CDMX. ¡Vamos a echarle #MásLimón porque #ElCambioViene! 

#LiaLimon #LiaParaLaAlcaldia",POS
"🔵🔴🟡En #LaMagdalenaContreras recibimos a nuestro amigo Santiago Taboada, ¡Vamos a ganar! Vamos a seguir haciendo que lo bueno se quede por las familias Contrerenses.
#JuntosSigamosTrabajando",POS
"Así los ""feministas"" del PAN: @STaboadaMx se reúne con la familia de Cuauhtémoc Gutiérrez, ex dirigente priista de la #CDMX y detenido por el delito de trata de personas. https://t.co/yYZ1TxbGWg https://t.co/QiDTjDYFby",NEG
Durante toda la campaña de 2018 en Benito Juárez me hostigaron provocadores del imbecil @STaboadaMx incluso llegaron a ir a mi casa y molestar a mi familia. Lo denuncié ante el @iecm y no movieron un dedo. Hubo total impunidad. Son delincuentes en lo electoral y en el gobierno.,NEG
"🐜💙Acompáñanos desde el Jardín Hidalgo a nuestro arranque de campaña por la Alcaldía de Azcapotzalco en donde nos acompaña nuestro próximo Jefe de Gobierno Santiago Taboada.

#Azcapotzalco 
#VamosPorMás
#ElCambioViene",POS
"Este #DíaMundialdelaSalud, recordemos: la salud es un derecho esencial. Ante retos como el fin del Seguro Popular, la falta de medicinas y tratamientos contra el cáncer, Xóchitl Gálvez Ruiz y Santiago Taboada regresarán el acceso y calidad en la salud. #ElCambioViene #MásLimón 🩺🍋 #LiaLimon #CDMX #Mexico",POS
"Nuestras colonias en Tlalpan requieren de acciones contundentes y atención prioritaria por eso de la mano de @STaboadaMx y @alfagonzalezm vamos a garantizar seguridad y acceso al agua.

El cambio viene a FLORESTA, PRADO, VERGEL COAPA y NARCISO MENDOZA a quien les he dado mi… https://t.co/XRixwtbKTs",POS
"Que la alcaldía Benito Juárez este en primer lugar de competitividad e Iztapalapa en décimo, dice todo de cómo queremos ver a la #cdmx y no es con Brugada sino con @STaboadaMx https://t.co/hVg65B1wQS",POS
"Hace campaña con la campana de la basura!

El panista @Ordonez_Mx estuvo cerca de mi casa. 

Y dijo que le copiará al líder del cártel inmobiliario, @STaboadaMx, un programa llamado Blindar Benito Juárez, pero que él lo ""adaptó” para @IztacalcoAl

Oiga al candidato plagiario! https://t.co/gWbUHJBKsO",NEG
"Asi recibimos a Santiago Taboada, próximo Jefe de Gobierno, en Álvaro Obregón #MasLimon #ElCambioViene",POS
"Agradezco la invitación y el apoyo de los vecinos del Mercado de Portales y el Mercado 24 de agosto

Los visitamos con @STaboadaMx, @cynthialopezc1, @juarezveromex, @LuisMendozaBJ, @MonicaAranaS27, @MarianaRiveraMX, @EDGARPEREYRA, @patybaezg, @MonsePCedeno y @DoraisaGonzlez https://t.co/PbmcDZIFuE",NEU
